id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Tardbp,1740.77503650259,1.83689611440223,0.143108943582747,12.8356486213604,1.03532229233193e-37,7.90986231341597e-34
Slc6a6,988.572948371558,-1.22886066361277,0.15725927211741,-7.81423344434219,5.52985245061774e-15,2.11240363613598e-11
Sez6l,643.216035524462,-1.18210324207712,0.178587000389725,-6.61920094686316,3.61145650794345e-11,9.19717590689598e-08
Hnrnpm,473.34339574992,-1.20513115013275,0.184611364704809,-6.52793587252731,6.66822328943998e-11,1.27363064828304e-07
Celf4,1259.21138450451,-0.969471330361616,0.156843126137703,-6.18115281322852,6.36351801833477e-10,9.72345553201552e-07
Cacna2d1,867.392772940018,-0.957427145152656,0.156866871658801,-6.10343748828714,1.03811180924755e-09,1.13302488895018e-06
Snhg5,172.133168909568,1.59618742195312,0.260814791530639,6.12000344223427,9.3573336064886e-10,1.13302488895018e-06
Scaper,172.627701137936,-1.51501114420723,0.252036174125656,-6.01108610485374,1.84284487490346e-09,1.75991685553281e-06
Ankmy2,179.962576536917,-1.52777489597387,0.258801548674671,-5.90326798196397,3.56370688539992e-09,3.02519117827282e-06
Scube1,666.357386217355,-0.953130544129368,0.165343901133354,-5.76453402633002,8.18837574807537e-09,6.25591907152958e-06
Srebf2,1311.22470807912,-0.846222593547937,0.147473616636676,-5.73812870971175,9.57283556290576e-09,6.64876942732727e-06
Hspa4,914.451578881922,-0.851273759993141,0.153438597883171,-5.54797666126553,2.88994441424418e-08,1.83993127706879e-05
Trp53inp2,2040.83403926893,-0.765156187514209,0.141913169293421,-5.39172080592581,6.97861375651699e-08,4.10127762306075e-05
Acap3,629.423454364349,-0.894792916211547,0.169747766676346,-5.27130891752838,1.35454261547154e-07,7.39193255871613e-05
Rabgap1l,1007.68418512086,-0.923592627012821,0.179003683169526,-5.15962918002157,2.47439444446515e-07,0.000126029157038092
Kdm5c,478.892011418162,-0.942837864569123,0.184589489090506,-5.10775488471523,3.26009173544704e-07,0.000155669380367596
Gp1bb,114.650414430535,1.46038058907414,0.30123979885637,4.84790055835365,1.24774915214679e-06,0.000560753148376556
Fem1b,898.064706876216,-0.749689859747599,0.156792638652082,-4.78140980464737,1.74070100816433e-06,0.000738830872354192
Dhx9,1155.0814558273,0.725203980446142,0.154257331821846,4.70126101548086,2.58559752833461e-06,0.00103968237455139
Olfm2,631.440720256006,-0.832443630558029,0.178029293084381,-4.67588011015397,2.92695577298442e-06,0.00111809710528005
Mast4,310.417289028036,-0.96965765326175,0.209079370660905,-4.63774905289143,3.5222406517798e-06,0.00128142469426656
Blmh,140.679219498965,-1.25137801367414,0.271597744341626,-4.60746835989957,4.07601202353338e-06,0.00141548781180887
Agtpbp1,899.688586168885,-0.689996586169149,0.155073896378328,-4.4494695901997,8.60826167695437e-06,0.00285943996573615
Camk2b,3364.39344633736,-0.640473747537223,0.144254437289277,-4.43988940356035,9.00051194926477e-06,0.00286516297051595
Sox11,2737.07248626015,-0.590344648130266,0.133236218099922,-4.43081210611615,9.38788634696641e-06,0.00286893806763294
Fat4,984.836250978026,-0.706789882017382,0.162281521071216,-4.35533187852739,1.32865459711723e-05,0.00376366744186878
Mapk1ip1l,445.777311985417,-0.94270578091266,0.216460437657631,-4.35509505161266,1.33009189699551e-05,0.00376366744186878
