id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Cdkn1a,1252.35488392657,2.85882615487521,0.0862849913247528,33.1323688046207,1.01641330579152e-240,1.20485633268527e-236
Tuba1a,18571.9596775061,-0.908124055843778,0.0283882188758753,-31.9894692870469,1.52777931206945e-224,9.05514798263566e-221
Tubb2b,8273.98498095302,-0.978392755218053,0.0338200415978736,-28.9293776409656,5.10066784181697e-184,2.01544388656328e-180
Actb,15127.1360721293,-0.773697834792687,0.0272151584972172,-28.4289299609186,8.87896542938294e-178,2.63128140499764e-174
Tubb3,7621.70024916895,-0.992469517220457,0.0358143378248413,-27.7115138097588,5.07306193993748e-169,1.20272152472038e-165
Ptms,5365.73649724749,-1.0583420055598,0.0394489152509848,-26.828164952733,1.5167943548991e-158,2.99668004716232e-155
Sox11,3659.51888324372,-1.12025631292514,0.0465448684473306,-24.0683097899997,5.3694074888307e-128,9.09270805322845e-125
Ccng1,872.434574838233,2.16319101522258,0.0960961796291087,22.5106869343984,3.26177645310541e-112,4.83313725938895e-109
Cd24a,3032.37242065037,-1.15710496732887,0.052018123206351,-22.2442659597454,1.28172214080437e-109,1.68817047301056e-106
Nfix,6008.56317830615,-0.788403775883911,0.0377432891648687,-20.888581608244,6.80093666268741e-97,8.06183031994965e-94
Dpysl3,14141.1197863039,-0.54738029228058,0.0269319825128331,-20.3245450653234,7.80087226516962e-92,8.40650362102916e-89
Sulf2,757.993659044866,2.01037878386217,0.102777187538846,19.5605545549912,3.3540969087307e-85,3.31328872967448e-82
Fasn,2185.405790624,-1.08242405149133,0.0577435574726937,-18.7453648314481,2.11218334514394e-78,1.9259862594874e-75
2700081O15Rik,1477.07475273836,-1.28769231657989,0.069834891300751,-18.4390967408299,6.37981000889126e-76,5.318156425357e-73
Dcx,6974.02930905865,-0.698205391924165,0.0378714159395702,-18.4362103872287,6.7295719909191e-76,5.318156425357e-73
Ttc28,1278.44922387143,-1.39842480895727,0.0763043526485589,-18.3269336599723,5.04559067314704e-75,3.73815198996782e-72
Crmp1,8120.18744684827,-0.616491745665082,0.0344817093353958,-17.8788046633247,1.72495667365106e-71,1.20280214173292e-68
Tubb5,6890.21112354928,-1.14613987376557,0.0649002395199033,-17.6600253287829,8.52014303108708e-70,5.61098752725035e-67
Nrep,5037.58059494161,-0.706918340882349,0.04086027315386,-17.3008716368693,4.63325593642125e-67,2.89066399317566e-64
Rnf157,1265.03872919012,-1.23914829342781,0.0746883653659562,-16.5909146271479,8.10762167161114e-62,4.80538736476393e-59
Mpped1,2531.6913929698,-0.852849250272141,0.0533449724289516,-15.987434456134,1.56338101273091e-57,8.82491358329153e-55
Map1b,18808.305154258,-0.391654398991073,0.0248601811218305,-15.7542858224452,6.4180303603474e-56,3.45815144961628e-53
Fdps,608.119147080924,-1.70408537756905,0.108441154361542,-15.7143788038961,1.20557024482499e-55,6.21340420963279e-53
Fam212b,263.437626829503,2.96909940863477,0.189544998986348,15.6643510750111,2.65121818925903e-55,1.30948085064485e-52
4931428F04Rik,1278.10879420226,-1.14888976035366,0.0735104739336798,-15.6289260410724,4.62533068942544e-55,2.19314679969797e-52
Apoe,322.674408928053,2.43283706098544,0.160435048834857,15.1639998781667,6.12243937291185e-52,2.79136139717296e-49
Marcksl1,5324.58887552592,-0.59636689490964,0.0397709831847824,-14.9950251956011,7.91326600150128e-51,3.47421685858504e-48
Stmn1,2181.51007966235,-0.843484619949212,0.0577465165030254,-14.6066753637862,2.54644570405171e-48,1.07805597770818e-45
Nsg2,6762.29393438883,-0.522169912447212,0.0358642655724017,-14.5596153751726,5.07424911890285e-48,2.07414307087843e-45
Enc1,3755.02187970886,-0.667960405906089,0.0468613210416034,-14.2539815579052,4.2343457182033e-46,1.6731311381194e-43
Hpcal1,362.896069960822,2.10638768181023,0.148436438011841,14.1905027500201,1.04903949802728e-45,4.0113916805211e-43
Hmgcr,1854.57874325222,-0.909877013691124,0.0641383418737623,-14.1861636442357,1.11599068478376e-45,4.13404799294583e-43
Sox4,1918.66120863954,-0.846620835270335,0.0603912484671804,-14.0189324903662,1.19397109482012e-44,4.28888889636292e-42
Dpysl5,7513.06193135121,-0.474165338956669,0.0346065605917309,-13.7016025530711,9.93079995161208e-43,3.4623441948944e-40
Atp1a3,5839.44011816509,0.526439928195918,0.0385774199143972,13.6463228843215,2.12325150265052e-42,7.19114951783409e-40
Ccnd2,1109.43212176778,1.07086131672494,0.0789776497146597,13.5590425974169,7.00443531935471e-42,2.3064048965453e-39
Apc2,2711.34723801907,-0.748997365178511,0.0560489732759224,-13.3632664686164,9.91173048737071e-41,3.17550414046736e-38
Scd2,3374.80129893583,-0.638688656321309,0.0481579232022563,-13.2623795598267,3.82561190870779e-40,1.19338956752164e-37
Tbc1d16,1525.83130455773,-0.909672009265218,0.0687101287341684,-13.2392709200798,5.20516601135449e-40,1.58210353586144e-37
Usp22,3375.65446947828,-0.627849153021964,0.0478767745140486,-13.1138565493323,2.74287981761753e-39,8.12852433950955e-37
Hnrnpab,1769.79424878563,-0.842451314772016,0.0659831923552515,-12.7676652902194,2.48496770080034e-37,7.18458710372859e-35
D3Bwg0562e,1407.00606493341,0.929707251484331,0.0734845496316728,12.6517377618059,1.09427332248799e-36,3.08845618208872e-34
Sqle,629.518735419515,-1.3090297676543,0.104204935306908,-12.5620707291732,3.41282350358945e-36,9.4082813515231e-34
Trp53i11,311.803379941141,-1.92802203858569,0.153503379021181,-12.5601276719756,3.49767924907947e-36,9.42306586786091e-34
Snn,751.255397848229,-1.19705238308087,0.0964307449245466,-12.4135967633301,2.20519264212534e-35,5.80896746216751e-33
Sbk1,2958.95785936036,-0.651807454563835,0.0526687699415904,-12.3755966825633,3.54251786385783e-35,9.1289145126458e-33
Acly,917.916609116304,-1.06736312074535,0.0864325532553272,-12.3490870111438,4.92673530568914e-35,1.24258553858807e-32
Zmat3,758.85538259904,1.15941904014495,0.0940825033988787,12.323428886978,6.77510737862499e-35,1.6731692263796e-32
Dhcr24,596.889365118777,-1.34200013278393,0.108913329175535,-12.3217253842369,6.91977488894599e-35,1.67402064354216e-32
Slc1a2,905.007025561844,1.13005430160143,0.091741109508014,12.3178617270016,7.2593646355749e-35,1.7210501678021e-32
Akt3,1535.33623134223,-0.845474371050172,0.0686558952979434,-12.314665293943,7.55278701583131e-35,1.75550465266009e-32
Basp1,7006.90611302678,-0.439073740108308,0.0356839906323771,-12.3045021682615,8.56629704271212e-35,1.95278625277518e-32
Bbc3,318.934632889706,1.94491712492566,0.158501677433595,12.2706406418979,1.30218912520853e-34,2.91248111136262e-32
Sesn2,537.813875162471,1.38515310322711,0.113829677464264,12.1686464732536,4.56590952020216e-34,1.00230169356438e-31
St8sia2,2279.56257127574,-0.703200456084014,0.0578726852358881,-12.1508178377724,5.67946009181138e-34,1.22407854415149e-31
Rgs4,1687.48403939661,0.772323409392799,0.063814265215946,12.102676521923,1.02222973527021e-33,2.16384130033805e-31
Zak,206.140138798723,2.40428744491243,0.199267255959626,12.0656423622332,1.60405858019548e-33,3.3358790192346e-31
Acat2,466.389202525124,-1.46545682714666,0.122128259581947,-11.9993262178877,3.58200536751321e-33,7.32087786663821e-31
Sept3,4603.11797742142,-0.497353413803009,0.0415948985838522,-11.9570772074461,5.96237920238548e-33,1.1979329333064e-30
Tmsb10,1812.23244342319,-0.750344278296187,0.0628341472721373,-11.9416640612057,7.17727223659445e-33,1.41798975154318e-30
Aen,754.131905085862,1.19227808440726,0.0998916091182883,11.9357180741318,7.70907333623464e-33,1.49808779225779e-30
Mex3a,807.692388456825,-1.0855198818089,0.09106747475168,-11.9199514949642,9.31627632086257e-33,1.7812119275404e-30
Meg3,5880.12864645668,0.442024868424938,0.0379126753635944,11.6590260166496,2.06389735369108e-31,3.88340305248478e-29
Chd3,2401.63387039946,-0.643255111726477,0.0552215605401211,-11.6486224843125,2.33197857052951e-31,4.31926155860263e-29
Baiap2,554.216382470931,1.31765623647285,0.113397644134877,11.6197849305018,3.26958282996121e-31,5.9627130563631e-29
Ptma,767.399483515538,-1.14209322197273,0.0986248438212138,-11.5801777495649,5.19382500870439e-31,9.32842449290634e-29
Nkain1,1458.43536756144,-0.840999644999404,0.0729686269697011,-11.5254963663852,9.81449416744136e-31,1.73643304269925e-28
Gda,461.570464596994,1.49183576546433,0.129462549785822,11.5232997336478,1.00680092800501e-30,1.75509091184874e-28
Srebf2,1559.47710920198,-0.776472049496249,0.0674369440962138,-11.5140456007087,1.12093701842738e-30,1.92573730673017e-28
Serpine2,264.477201745472,1.91257714858156,0.166319586559143,11.4994101906419,1.32819916860635e-30,2.24921042066566e-28
Ywhag,7135.09995494262,-0.395290984351181,0.0343964237881415,-11.4922117132265,1.44367709576073e-30,2.41033074551375e-28
Egr1,783.922643367104,1.11913200581069,0.0983639455311465,11.3774615258426,5.41531106852239e-30,8.91570797309228e-28
Elavl3,3268.8492688319,-0.587499298269644,0.0518665210673392,-11.3271390904912,9.62989439646931e-30,1.5637365503527e-27
Nova2,2100.47907613595,-0.659793811382163,0.0583200558717668,-11.3133261194555,1.12733345903472e-29,1.80586632748617e-27
Ckmt1,285.420228349246,1.85732627845712,0.166715459982676,11.1406961217042,7.94955326267914e-29,1.25645339167731e-26
Phlda3,144.258417532631,2.72753345914985,0.24501307630402,11.1321954741936,8.74545564858667e-29,1.36406093760982e-26
Cyp51,1137.86333738182,-0.912961182340896,0.0821042284380769,-11.1195391480897,1.00791274476067e-28,1.5516620358952e-26
Fdft1,640.918514346091,-1.1295761087869,0.102316794156608,-11.039987307049,2.45067780271517e-28,3.72440188120329e-26
Psrc1,123.704193729033,3.20873643017253,0.292177020851018,10.9821656091451,4.65625634352648e-28,6.98674211343834e-26
Slc6a1,1086.52008414346,0.968218180303725,0.0883784993559055,10.9553589092371,6.26296029638979e-28,9.28014141917557e-26
Pmaip1,233.467451549512,2.0467740933724,0.187304136043915,10.9275434947817,8.51215695643729e-28,1.24571738964948e-25
Zbtb18,3639.82955066077,-0.495339320074227,0.0455402111980684,-10.8769658076429,1.4842139993048e-27,2.1455942375316e-25
Tubb4a,2313.94323912212,-0.600298127361312,0.055235220045366,-10.8680317896493,1.63694025015937e-27,2.3378662319746e-25
Epb4.1,519.836552626588,-1.24327070917844,0.11444006563174,-10.8639461391012,1.71188194903968e-27,2.41579150284718e-25
Nfib,1638.64464707727,-0.703608931749316,0.0652132554456363,-10.7893545099257,3.86494568864205e-27,5.39000778743092e-25
Gng2,7284.62877432162,-0.363855618271169,0.0340980985075156,-10.6708477656304,1.39349127081672e-26,1.92074947956528e-24
Sfpq,1531.18388005126,-0.714625756223107,0.0672541503035774,-10.6257495336328,2.26187789562896e-26,3.08187362928572e-24
Gpc2,522.187398064459,-1.2000431196728,0.113177900976866,-10.6031575892019,2.88085967302191e-26,3.83704613078671e-24
Abhd4,213.164979405956,2.06285048529988,0.194534577237119,10.6040299601107,2.85410300969984e-26,3.83704613078671e-24
Mdga1,462.178981411713,-1.29803035893457,0.122638715816551,-10.5841809439381,3.5285315150604e-26,4.64746806439178e-24
Syt4,2767.98361882643,-0.609144509477628,0.057563446410943,-10.5821410540462,3.60621850296857e-26,4.69759495980103e-24
Slc1a3,543.24734320942,1.1684617620941,0.110820707634174,10.5437132377034,5.43112050305707e-26,6.99788070035201e-24
Idh1,1008.58582573644,-0.89692280917603,0.0851851869810903,-10.5290936248709,6.34423926589993e-26,8.08651744709438e-24
2900097C17Rik,1529.54627589734,-0.723578506553334,0.0688464431615668,-10.5100346993273,7.76649674634222e-26,9.79404813097242e-24
Zfp365,309.583089753392,1.57891706726005,0.151045093213021,10.453282749366,1.41539512459547e-25,1.76611513757418e-23
Mmp24,1107.80081705709,-0.823579619736132,0.0788722610579472,-10.4419425624308,1.59512644965328e-25,1.96964884731146e-23
Stmn4,2002.3026271992,-0.679335590919939,0.0651074375437613,-10.4340704618168,1.73301553932928e-25,2.11785218589787e-23
Aldoc,207.6907601877,1.97911149857781,0.189818569283365,10.4263323975609,1.8800556642795e-25,2.2740999841193e-23
Zfp704,1429.16502802144,-0.717348840009968,0.0690696864731315,-10.3858708014987,2.87533278620832e-25,3.4428479644155e-23
Actg1,2431.68853995733,-0.57555032212078,0.0558069153271587,-10.3132437753765,6.13934535638814e-25,7.27757998546251e-23
Mapt,14161.6471472433,-0.277800104647116,0.0269711983472942,-10.2998799337733,7.05493007736554e-25,8.28011298387041e-23
Scg2,1509.47920462452,0.714109631939881,0.0695573610269574,10.2664854071034,9.97734955951951e-25,1.15952452626024e-22
Nsg1,3560.41416518307,-0.482639452678646,0.0472091356260198,-10.223433373193,1.55725474136144e-24,1.79220366059209e-22
Pidd1,116.807988215431,2.8915540593184,0.285056326028214,10.1437989453081,3.53094950646686e-24,4.02460340862098e-22
Satb2,1596.69610436211,-0.671146245670333,0.0663576578564069,-10.1140737535168,4.78521745853238e-24,5.40228264318503e-22
Polk,117.835539377019,2.72561188772637,0.270075069055838,10.092052914232,5.99034058890272e-24,6.69900918309932e-22
Syp,2180.31322372098,0.58515293995301,0.0580805776545764,10.0748471103903,7.13717079523758e-24,7.9069180006305e-22
Clmp,666.945684886149,-1.00410236232744,0.100077009767832,-10.0332970045453,1.08820961680238e-23,1.19441081459031e-21
Eno2,566.909485632144,1.07894871141302,0.108244552893377,9.96769521026901,2.11069881891402e-23,2.29543337609236e-21
Reln,874.609018198156,0.869256940836023,0.0873323711061821,9.95343341564775,2.43629617984791e-23,2.62544135599247e-21
Cfl1,4655.57168560305,-0.424947470604513,0.0430778973527387,-9.86462888670905,5.92531537499862e-23,6.32780977074177e-21
