id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Sox11,3599.38634676516,-1.9180099954416,0.0476409021319521,-40.2597329103728,0,0
Tuba1a,21012.6860127348,-0.830526800818172,0.0214672989144373,-38.6879972244493,0,0
Dcx,6823.17331892415,-1.09130255535833,0.0341626602314323,-31.9443084339855,6.48101548569099e-224,2.85423921989831e-220
Mpped1,2362.43859642384,-1.7311632039349,0.0567206914461984,-30.5208409805261,1.37880906670446e-204,4.55420634732484e-201
Zbtb18,3184.75831166474,-1.44743083684027,0.0496712721619381,-29.1402006399466,1.11192905091894e-186,2.9381613241482e-183
Srebf2,1352.67254341064,-2.0605010355544,0.0759015055774699,-27.1470377284061,2.74435127050448e-162,6.04306149765086e-159
Nell2,2547.5817560356,-1.46127390012171,0.0547432036814392,-26.693247779672,5.63795004579826e-157,1.06412280007266e-153
Mapt,14064.9628113251,-0.639341704566607,0.0241397093172547,-26.4850622749469,1.44058556406165e-154,2.37912705904782e-151
Dpysl3,15300.1555511292,-0.612961205640716,0.0232549970776288,-26.3582576938004,4.12735898091107e-153,6.05896298397745e-150
Camk2b,3076.21627269346,-1.30465453106829,0.0503860471534489,-25.8931709227956,7.95011924953956e-148,1.05036975524917e-144
Atp1a3,7365.44698727849,0.841075542398131,0.0326866171247192,25.7314955288557,5.19387858765134e-146,6.23832035454996e-143
Trp53inp2,2359.19529092889,-1.42386798418152,0.0558264123307074,-25.5052747388949,1.72278219349508e-143,1.89678319503808e-140
Tubb2b,9434.0822945599,-0.743850840084054,0.0293267830288766,-25.3642153437567,6.26321811563525e-142,6.36535674952099e-139
Nrep,5032.57874347214,-0.994574324602927,0.0395615308764281,-25.1399352494603,1.8208997467159e-139,1.71840910382932e-136
Nfix,6297.74127390131,-0.860180007062613,0.0352661454989891,-24.3910978898238,2.125773193979e-131,1.8723810292567e-128
Dpysl5,7564.37659960386,-0.791370574346383,0.0324539508378466,-24.3844140363803,2.5028070722309e-131,2.06669293989466e-128
Gpi1,1820.13561568688,1.49910940586822,0.0626979881716686,23.9100081132368,2.41005034183547e-126,1.87303441860766e-123
Plxna4,1305.41842720345,-1.79068434916008,0.0753271976794377,-23.7720823862387,6.49557450223332e-125,4.76775168463926e-122
Crmp1,8676.50735528765,-0.711327180387722,0.0300554138304982,-23.6671896916593,7.85349894515595e-124,5.4610751612316e-121
Map1a,2298.38338612701,1.31388866712641,0.0586039682773015,22.4197900884351,2.52372615265918e-111,1.66717349644666e-108
Hmgcr,1825.88386560294,-1.41990137852913,0.0643560276419035,-22.0632228332968,7.13164448571815e-108,4.48682318787182e-105
Enc1,3909.77591345354,-0.9448389471251,0.0440891962766411,-21.4301694500538,6.99252248733347e-102,4.19932759557499e-99
Mturn,1342.25246968436,-1.55105527317813,0.0729719470834155,-21.2555007118707,2.93217861374751e-100,1.68434538455792e-97
Scd2,3542.53600878564,-0.951893314695747,0.0452719417675205,-21.0261207611524,3.78352390837938e-98,2.08282991156285e-95
2700081O15Rik,1679.26612928991,-1.40047252901813,0.0666349398935673,-21.0170900019575,4.57645441849531e-98,2.4185646310864e-95
Scube1,623.537484559116,-2.39010938584385,0.11413280655377,-20.9414756196136,2.24400680897866e-97,1.14030069077792e-94
Dhx9,1892.93727978431,1.28241224457042,0.0613215592374778,20.9129099213552,4.08540855354895e-97,1.99912658553662e-94
Zfp704,1329.59486274624,-1.59461279170278,0.0772405533731887,-20.6447613599865,1.08798494057495e-94,5.13373465531295e-92
Aldoa,2751.79849564152,1.1135980144999,0.0541321618852394,20.5718370690744,4.90715839094998e-94,2.23563367797349e-91
Syt4,2704.83060304275,-1.04785943344301,0.0512116564889714,-20.4613462106751,4.76056294152805e-93,2.09655191944895e-90
Ncam1,6505.27567298308,-0.700099851791703,0.0345204810112659,-20.2807096333108,1.90365106462444e-91,8.11323802123164e-89
Tubb3,9675.40333188775,-0.583732928482535,0.0292659834344731,-19.9457820985076,1.63079783806429e-88,6.73315657390794e-86
Ttc28,1376.73572277343,-1.47750891418056,0.0749993514051243,-19.700289222496,2.14391875252402e-86,8.58347107828708e-84
Ndrg4,2500.39438345589,1.09764505454339,0.0558682022613036,19.647044474593,6.12787093009464e-86,2.3812185508356e-83
Sox4,1980.5662326169,-1.22315424407382,0.0624293009538657,-19.5926307901111,1.78712665343605e-85,6.74614781291344e-83
Akt3,1532.56836833229,-1.28156579058641,0.0678401632527293,-18.8909597079257,1.35362391271508e-79,4.96779975966433e-77
Slc6a6,1038.82515759381,-1.59344349577515,0.0844001743987176,-18.8796232605814,1.67778496036651e-79,5.99105267469252e-77
Mef2c,3096.25606251665,-0.97621633591012,0.0518070092775077,-18.8433254404043,3.33348607152082e-79,1.15900047307719e-76
Ssbp2,1201.2076573799,-1.47267292435767,0.0785086435300252,-18.7580992122791,1.66238809662186e-78,5.63165936732512e-76
Celf4,1260.68057436481,-1.40780172328338,0.0751293676726068,-18.7383677900525,2.40904650719318e-78,7.95708061325907e-76
Polr2a,1232.27218302289,1.40261072923542,0.0750144642277244,18.6978703864025,5.15216810266827e-78,1.66025475542569e-75
D430019H16Rik,1331.06195096753,-1.35786221965881,0.0731872257308398,-18.5532680887865,7.67410892172226e-77,2.41405540651892e-74
Cacna2d1,803.655664185998,-1.71085398928896,0.0936902763998576,-18.2607422566165,1.69964834514712e-74,5.22226835722879e-72
Myt1l,1289.47911073904,-1.34525901348747,0.0739288686702737,-18.1966671164331,5.48448067484471e-74,1.64683996991019e-71
Sptbn1,5724.46496393599,0.660009904845103,0.0364368976145366,18.1137788355996,2.4811713960335e-73,7.28471921875435e-71
Ahi1,1093.07234679017,1.48489556216241,0.0827661016756607,17.9408662737474,5.65663868226752e-72,1.62468500587214e-69
Nnat,7844.9731378242,-0.584147710662424,0.0327285292845154,-17.8482725448588,2.98115929168071e-71,8.38022905567777e-69
Peg3,871.85791790308,1.67173048922099,0.0962361831743985,17.371122108942,1.36529717746889e-67,3.75798048098313e-65
Neurod2,1644.16507070929,-1.12610838533533,0.0651509292998428,-17.2846097122064,6.14357792607435e-67,1.6565092154958e-64
Rabgap1l,958.827240225215,-1.45567140988777,0.0852095638136651,-17.0834275489429,1.97187489072115e-65,5.21048221124157e-63
Plxnd1,879.405166122426,-1.56611290370803,0.0921640233247288,-16.9926707538583,9.30539360538527e-65,2.41064431988922e-62
Gabarapl1,1957.39059836719,1.00273052348916,0.0591378531212338,16.9558154475703,1.74325918895339e-64,4.42921930854851e-62
Map1b,20545.1540184688,-0.380834701476056,0.0224676032520683,-16.9503928480221,1.91172126844366e-64,4.76559649031653e-62
Tcf4,4188.55118657485,-0.703943505099237,0.0416694961702128,-16.8934969173553,5.02353065053168e-64,1.22909049916342e-61
Pld3,1531.7517536706,1.1402917895942,0.0680699543285276,16.7517636943135,5.49720734372342e-63,1.3205291531868e-60
Ipo5,893.118298000543,-1.467565701057,0.0877604841227704,-16.7223975087009,9.00235917128662e-63,2.12391373876855e-60
Nsg2,7398.38668003678,-0.536198817381742,0.0323857925373931,-16.5566063193494,1.43460906392651e-61,3.32527279870123e-59
Sez6l,501.975622659413,-1.99480634129568,0.120956719951434,-16.4919017487959,4.19534136933388e-61,9.55669830545503e-59
Ddx5,2123.18184073318,-0.94867000401291,0.0575731405097255,-16.4776490497797,5.31102900395732e-61,1.18931042712346e-58
Pbx1,1718.35893378182,-1.04594599811665,0.063568987673888,-16.4537148755994,7.8878306824617e-61,1.73690031627807e-58
Celf2,3526.54442898126,-0.747431384819715,0.0454558694233661,-16.443011525273,9.41232260314909e-61,2.03861649561977e-58
Neurod6,2050.12293316099,-0.954651797193591,0.0582350706342043,-16.3930735688483,2.14328058517764e-60,4.56726178893016e-58
Acap3,756.334314216891,-1.57709732635221,0.0969790717995044,-16.2622439778834,1.82914244778425e-59,3.83597301906755e-57
Fdps,667.643685604363,-1.64854800930209,0.101750803989607,-16.2018180167939,4.89580261118116e-59,1.01067725154571e-56
Olfm2,625.994941651701,-1.67996649511211,0.105444632875877,-15.9322143696936,3.7870485663645e-57,7.58098267557694e-55
Sez6,804.794867009156,-1.45613530936704,0.0913948758892598,-15.9323517341541,3.77873723396172e-57,7.58098267557694e-55
Clip3,5358.93576058591,0.613190479509439,0.0391281513318421,15.6713378638574,2.37526482607756e-55,4.68388043016967e-53
Fat4,893.395266213393,-1.36849552894997,0.0876286995964831,-15.6169786297376,5.57872524453266e-55,1.08391349898185e-52
Hdgfrp3,1192.23497882794,-1.23672500875472,0.079487399200447,-15.5587554907415,1.3877098360651e-54,2.65716266001336e-52
Add2,2100.12871065523,-0.932108021488223,0.0602380954887408,-15.4737299366054,5.21931991635434e-54,9.85109353355337e-52
Agtpbp1,830.835019045188,-1.39154076763978,0.0914223071490221,-15.2210200227338,2.5650042959324e-52,4.77307559969844e-50
Fdft1,662.032939525435,-1.54700299753955,0.102048788562307,-15.1594450001237,6.56214981526887e-52,1.20415449110184e-49
Myh10,1759.91677884025,-0.951312825576551,0.0628933491497102,-15.1258096195841,1.09446261268341e-51,1.98082740257167e-49
Hnrnpm,563.041113699541,-1.7049850219594,0.11310732911066,-15.0740454696026,2.39958803392478e-51,4.28423744651543e-49
Bhlhe22,1248.3623600608,-1.18647289277551,0.0787930803824129,-15.0580848853365,3.05509445723442e-51,5.38185439586415e-49
Snn,832.948636832633,-1.34217564881129,0.0894742521507385,-15.0006914452899,7.26584400761974e-51,1.26310961879832e-48
Cyp51,1179.60071393895,-1.1272089184969,0.07549236228792,-14.9314299398639,2.0580496199182e-50,3.53129241277393e-48
Ctsd,1155.63474875795,1.16132639937479,0.0780036650982881,14.8881004233771,3.93799695196496e-50,6.67036099094373e-48
Jph4,2683.73376255492,-0.808048444695646,0.054459892901029,-14.8374960296769,8.38269716889455e-50,1.40192651892956e-47
Tubb5,9206.06935939013,-0.469302609064442,0.0316977118351755,-14.8055674019867,1.34844330749928e-49,2.22695412233505e-47
Ddx17,1665.66710338386,-0.943706169940087,0.0639120987702673,-14.7656889399337,2.43818013887214e-49,3.97694271540477e-47
Fasn,2643.47500255198,-0.831342007909927,0.0568062354829338,-14.6346963646216,1.68727244703019e-48,2.71856628904426e-46
Sqle,667.427026837194,-1.47539112659697,0.100863327333649,-14.6276269641241,1.8720340969335e-48,2.97991740827535e-46
Rab3c,3022.92501373237,-0.706306058720267,0.0485863040125814,-14.537143194456,7.0472872462401e-48,1.10843760830148e-45
Dhcr24,659.044574887821,-1.45841585214301,0.100476352142397,-14.5150159320683,9.73350736147681e-48,1.51293057952743e-45
Syp,2567.01491103787,0.767377166222158,0.0530117657120225,14.4756009522642,1.72808760236884e-47,2.65482481424385e-45
Pou3f1,519.248755595079,-1.62830420643956,0.113754987360532,-14.314134652214,1.78573058015583e-46,2.71184740517458e-44
Sbk1,3193.28172792149,-0.67196729367164,0.0472635063489937,-14.2174659812548,7.13915798919314e-46,1.07184721992295e-43
Herc2,1058.51590418099,-1.13895250322396,0.0801454188733977,-14.2110743101002,7.82163101230293e-46,1.16111672960164e-43
