id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Sox11,3867.7296536103,-0.935345083497132,0.051955168861735,-18.0029264458038,1.84791641089749e-72,1.87545036541987e-68
Scg2,1593.77618420649,1.01972478633411,0.0769215867859549,13.2566790278474,4.12773967913933e-40,2.09462150017925e-36
Calm1,13743.1960895235,0.428828357552137,0.0370118777493877,11.5862361930349,4.83934171024172e-31,1.63714930057477e-27
Ttc28,1388.31757820572,-0.909770812193101,0.0809338929494975,-11.2409125403222,2.56714842446247e-29,6.51349733996739e-26
Tubb5,9113.52059526622,-0.456397809063487,0.0412385431782667,-11.0672631448342,1.8083936961497e-28,3.67067752444465e-25
Tuba1a,24184.8448562737,-0.362499440790773,0.0358340563317642,-10.1160593552297,4.68916410326488e-24,6.79861806914789e-21
Vgf,2059.34599567664,0.696712826364126,0.0688452128267242,10.1199894336542,4.50464247611833e-24,6.79861806914789e-21
Egr1,1060.19392823867,0.924836956513124,0.0917597891454264,10.0788914744277,6.84944833083122e-24,8.68938138870075e-21
Atp1b1,4027.95019565136,0.514633738565455,0.0513862253466205,10.0150134611765,1.30944083121012e-23,1.47661277732794e-20
Gda,526.419415170041,1.30613070668,0.133024329206286,9.81873552359388,9.35090672825925e-23,8.62748658046392e-20
Ptprn,933.303042062587,0.928237303112107,0.0944811813739782,9.82457341888996,8.82468460683899e-23,8.62748658046392e-20
Apoe,221.372569623844,1.89101218960396,0.201452271535044,9.38689931463499,6.17925397146801e-21,5.22610404636907e-18
Tubb3,9551.07526851721,-0.392408069410946,0.042056062041088,-9.3305946958983,1.05278525217092e-20,8.21901348021746e-18
Scd1,453.996465098264,1.2612057659077,0.135634969264688,9.29852952188525,1.4240140432423e-20,1.03230846606186e-17
Tubb2b,10130.5742163167,-0.362922439429779,0.0392282935188359,-9.25154797405394,2.21264644573491e-20,1.49707658518424e-17
Ddn,358.828730483145,1.36537919039614,0.151972549586758,8.98438036414381,2.60196275984258e-19,1.65045750310265e-16
Necab1,1152.3374186681,0.848695660848588,0.095379884591019,8.89805711642161,5.6832771372698e-19,3.39291645095007e-16
Enc1,4011.6646951771,-0.461807022993671,0.0520364994264596,-8.87467504700846,7.01378930227198e-19,3.95460820159768e-16
Nfix,6685.08456812638,-0.382326408726623,0.0431468457799803,-8.86105118033954,7.92634656001478e-19,4.23392059145211e-16
Atp1a3,5650.30515381273,0.431935656822102,0.0488893477374782,8.83496460499889,1.0012995787959e-18,5.08109471259978e-16
Syp,2149.71899635537,0.557365579601315,0.0650656449563133,8.56620386957733,1.06952459429373e-17,5.16885957499383e-15
Cntn2,659.104689140484,-0.923270435570245,0.109069637380612,-8.4649629149163,2.56234210550618e-17,1.18205500130828e-14
Zbtb18,3749.97524966509,-0.447823582256866,0.0534428631765318,-8.37948335173623,5.31605342396486e-17,2.34576635651389e-14
Atp2a2,2971.20316407251,0.477378149310877,0.0570820130109893,8.36302232752327,6.11316396507745e-17,2.58510421173213e-14
Pcdh11x,482.589152572091,1.08493219071904,0.130670514344574,8.30280799123597,1.01679130754362e-16,4.12776599210407e-14
Dcx,8728.7391273619,-0.373663409132317,0.0450878782897276,-8.28744716553783,1.15704970435665e-16,4.51649901904447e-14
Camk2a,1084.55186340181,0.723067923770527,0.0882642125083077,8.192084914398,2.56739392086868e-16,9.52038453879663e-14
Psd3,2520.6278661267,0.510940470287173,0.062390902869298,8.18934246483877,2.62657175176181e-16,9.52038453879663e-14
Cd24a,3743.77005284847,-0.438252891315662,0.0535646614462753,-8.18175415437329,2.79741336541436e-16,9.78998215365184e-14
Atp1a2,247.405307950205,1.52411558351428,0.186501704744959,8.172126821031,3.02999769823698e-16,1.02504822131357e-13
Slc1a2,843.129845089323,0.816347482453085,0.100383110200303,8.13231908061184,4.21154482610455e-16,1.37880543355274e-13
Rgs4,1578.28631377813,0.646179563689775,0.0796508043816949,8.11265584454384,4.95251921407544e-16,1.57072242198911e-13
Nrep,6021.04347984538,-0.364223543268218,0.0449437364690009,-8.10398894002583,5.31859429433487e-16,1.63570949979408e-13
Sox4,2099.52676645355,-0.550726698824339,0.0680913442467222,-8.08805737229736,6.06238501292485e-16,1.80962192635807e-13
D3Bwg0562e,1410.50854315431,0.651193407175558,0.0807910090202378,8.06022124333708,7.61564877909727e-16,2.20832055597309e-13
Rab6b,4579.41905549944,0.407434091854965,0.050945462665113,7.99745591738383,1.27016226138418e-15,3.58079910855222e-13
Slc1a3,554.626874098924,0.967656447478847,0.121304148884059,7.97710924466169,1.49800231771941e-15,4.01754969984794e-13
App,3836.51512936208,0.421685604233407,0.0528653655867767,7.97659487554709,1.50425547930064e-15,4.01754969984794e-13
Actb,19928.0724896111,-0.302208561275602,0.0379620881513181,-7.96079920764603,1.70931579265844e-15,4.44816563581808e-13
Nrsn1,301.811030061977,1.31274832811898,0.168538456132861,7.78901360698428,6.75343344953048e-15,1.67172185559231e-12
Tenm1,617.601080495173,0.973511300576679,0.124964618768624,7.79029544657889,6.68526877007111e-15,1.67172185559231e-12
Vsnl1,711.40841490042,0.823548440838286,0.106782551112443,7.71238776615371,1.23485259655044e-14,2.98393309580725e-12
Scd2,5652.69687936822,0.351442955965465,0.0456097372574539,7.70543697679444,1.30396317572118e-14,3.07765634195215e-12
Sbk1,3085.68912664214,-0.452528273109343,0.0587682862763331,-7.70021216854137,1.3584049190312e-14,3.13328443710173e-12
Map1a,1604.69186454294,0.577221970481242,0.0750858208622153,7.68749630560024,1.5004217735173e-14,3.38395123987269e-12
Brinp1,1054.1182793871,0.68599938811201,0.0899958786702329,7.62256448015449,2.48684824200888e-14,5.48674408872785e-12
Igfbpl1,114.927930025143,-1.98562716279502,0.262788710111275,-7.55598351981797,4.15706484139331e-14,8.97660661176611e-12
H3f3b,2731.85801355965,-0.441151902396131,0.0585683849749492,-7.53225315304185,4.98721475541148e-14,1.05448421984731e-11
Fabp7,647.125423815363,0.942709273744861,0.126553075585136,7.44912179641713,9.39635961150655e-14,1.94619701422816e-11
Trp53i11,338.026053592549,-1.09474844657606,0.14949043295539,-7.32320072216762,2.42125218249292e-13,4.84091539552082e-11
Atp1b2,830.195421569414,0.73053247286779,0.0997644595080378,7.32257235161919,2.43262080176926e-13,4.84091539552082e-11
Elavl3,3355.90012638696,-0.394380405870627,0.0539861287791991,-7.30521737321868,2.76818856488596e-13,5.40275879712069e-11
Mex3a,963.116861363539,-0.637782319351759,0.0911422696343881,-6.99765676134888,2.60278773187711e-12,4.98409296053223e-10
Grin1,1426.09263283761,0.577785579433672,0.0837837648267008,6.8961520245452,5.34300171481344e-12,1.00418748895633e-09
Cntn1,1282.18129771935,0.572415991714556,0.0830946773834424,6.88872030964304,5.62964979554559e-12,1.03882392318168e-09
Aldh1l1,175.686356359723,1.50741830322125,0.219834895746191,6.85704741326247,7.02983049406968e-12,1.27403124436274e-09
Pld3,1139.65634579461,0.576807897381839,0.0854654968319395,6.74901473416906,1.48852474952342e-11,2.65035748823038e-09
Tspan7,1101.17462161826,0.581165113391291,0.0865145862939223,6.71753906811571,1.84819223894073e-11,3.23401776431198e-09
Adcy8,223.103337656428,1.28039603137647,0.191633725871409,6.68147543212538,2.36548439816548e-11,4.06903409440364e-09
Zfp462,711.078428581183,-0.740708616153238,0.113317881284155,-6.53655546467416,6.29517991533955e-11,1.06482968267969e-08
Robo1,1060.01952863501,-0.569316477681665,0.087457417687782,-6.50964198044461,7.53301260949362e-11,1.25332040940575e-08
Hnrnpab,2107.00811487123,-0.424904400969821,0.0657949584462572,-6.45800850101443,1.06089783903694e-10,1.70905589974379e-08
Sptbn1,4952.83527164329,0.342196563074658,0.0529862236809348,6.45821761398304,1.05943326144708e-10,1.70905589974379e-08
Mpped1,2877.47480380787,-0.393668566369462,0.0610900180198471,-6.4440735021811,1.16308711611941e-10,1.84440174085873e-08
Diras2,983.152550113471,0.634045865675857,0.0990823416015654,6.39918128121671,1.56212289335231e-10,2.4390746530204e-08
Mfge8,306.164471815791,1.03955452566147,0.163456970279546,6.35980542086157,2.02009481901734e-10,3.10635489669803e-08
Aplp2,1735.21554418093,0.451884590593845,0.0712927431024426,6.33843741914264,2.32107080652205e-10,3.51590262916303e-08
Omg,216.130584395906,1.22663713605484,0.194751345520107,6.29847836367425,3.0058167152856e-10,4.4211643251353e-08
Ntrk2,2849.85084177416,0.36930753373636,0.0586296946951063,6.29898442516,2.99602090965944e-10,4.4211643251353e-08
Frmd4a,1564.53835898861,-0.461694495472644,0.073541017800243,-6.27805419727436,3.42836418770536e-10,4.97063830586024e-08
Nfib,1812.27828160747,-0.487237645259906,0.0779188696527675,-6.25314057340923,4.02279734334601e-10,5.75033383628432e-08
Rab3c,4427.7339387507,0.30920240547931,0.0496159532074416,6.23191504930987,4.60767336439612e-10,6.4948995798967e-08
Pgm2l1,1353.85315645348,0.495029025287673,0.0796974812131705,6.21135094550349,5.25310051786611e-10,7.30324892545523e-08
2700081O15Rik,1964.63012905177,-0.43229203577956,0.0704465745183979,-6.13645218003698,8.43847493059579e-10,1.15732543338671e-07
Snhg11,206.170418046486,1.20718641320812,0.198507058138807,6.08132740733071,1.19191622048215e-09,1.61290102955644e-07
Nwd2,1002.75890656827,0.557463943045804,0.0917888601529369,6.07332896515947,1.25285429161065e-09,1.66753939565452e-07
Sidt1,134.317488832517,1.51165958102694,0.248965610357943,6.07176058915767,1.26515453212531e-09,1.66753939565452e-07
Rbmx,679.751563259256,-0.690556710816475,0.113784602708282,-6.06898204484581,1.2872353489564e-09,1.67489122519981e-07
Add2,2556.15022357426,-0.373271492248593,0.0616583552264769,-6.05386716654266,1.41409230627603e-09,1.81666111599942e-07
Spock2,1627.52163465084,0.455716708534817,0.0753032283413094,6.05175526432009,1.43276026040261e-09,1.81763548535326e-07
Acsl4,874.504743498346,0.588935884810251,0.0974266215034311,6.04491745399906,1.49486516706915e-09,1.87301068896108e-07
Fos,776.702980999007,0.621493568095209,0.103320744002044,6.01518672845517,1.7967946155735e-09,2.22386201871407e-07
Ncan,4295.39885727893,0.298555303977057,0.0498989973908257,5.98319244049479,2.1880599355584e-09,2.67549641999786e-07
Vamp2,5329.69497990042,0.277321560331913,0.0464833720163044,5.96603792501628,2.43083807266731e-09,2.93697328565482e-07
Gabbr1,3180.20470075458,0.326220856174837,0.055420149797035,5.88632216566636,3.94884220230312e-09,4.71491758954992e-07
Prkcb,1219.12703785769,0.482751674434112,0.0823919009270124,5.8592127260392,4.65066643774842e-09,5.48832717171032e-07
Pbx1,1936.09762264926,-0.410587512779672,0.0701746856052598,-5.85093483837279,4.88817717507919e-09,5.70231151148031e-07
