id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Ncan,3725.37483826429,0.352478727812418,0.050390467368462,6.99494857301174,2.65356246298276e-12,2.90432411573463e-08
Gse1,381.925934293409,0.934075652261203,0.14704668310422,6.35223884376348,2.12203494988366e-10,1.16128362632383e-06
Ptprz1,772.121218754092,-0.581270756260421,0.100061878109038,-5.80911299333206,6.28046929657875e-09,2.29132454836848e-05
Olig1,73.1212759154228,-1.93730515098058,0.34183719575233,-5.66733279775735,1.45037471120046e-08,3.96858780352225e-05
Mfge8,120.434377615071,-1.30349915795659,0.257869142972292,-5.05488614470112,4.30647600862007e-07,0.000942687598286934
Neurod2,1546.31115433869,0.362775405879935,0.0739698526591126,4.90436837223094,9.37284479875064e-07,0.00146551123317608
Id1,27.7252737378614,3.25705413003787,0.662274125280795,4.91798487319268,8.74396675304317e-07,0.00146551123317608
Tnc,494.121337144874,0.581039375695392,0.125155297497948,4.64254719785167,3.44139991846933e-06,0.00470826526345585
Olig2,45.5163457195132,-1.8661121497926,0.422576379539329,-4.4160351599087,1.00527739984009e-05,0.0110027611412498
Id2,486.323102142371,0.557036191993963,0.125976918743494,4.42173215180922,9.79127873353357e-06,0.0110027611412498
Wnt7b,490.216119045005,0.576221771655183,0.13826825267892,4.16741920499463,3.08067649792879e-05,0.0306527311543915
Sall3,46.5302178487097,-1.75196952981302,0.422914919718526,-4.14260516270994,3.4338282728627e-05,0.0313193753720686
Ncam1,6332.67051733401,0.171918170674217,0.0420312590589744,4.09024555826407,4.30916715242692e-05,0.0362798726794712
Cxxc5,78.8559748289852,1.24758090962422,0.315482061557967,3.95452249634482,7.66876563121434e-05,0.0599533141668864
Egr1,536.03817470967,-0.473246760096368,0.123946482782052,-3.81815400868233,0.000134453984429652,0.0924305237286869
Spock1,1175.26572968141,0.320697201685353,0.0840195706863524,3.81693454353064,0.000135119998141525,0.0924305237286869
Nes,191.688175254463,-0.764155660977437,0.201702588927298,-3.78852678610323,0.000151543255913808,0.0975671138809782
Scd2,3979.34809499161,-0.173982843702512,0.0487003258994416,-3.57251908461062,0.000353563707403524,0.203671304080609
Nsg2,6905.89390238475,0.143567487059598,0.0401252514896149,3.57798348246506,0.000346255327304228,0.203671304080609
Arl8a,2549.90279009705,0.206080212282476,0.0604469065002636,3.40927640824063,0.000651354472641026,0.356453735152802
Egfr,35.3120543600667,-1.60178469942182,0.485166000151019,-3.30151885936613,0.000961628698669038,0.501191719377744
Top2a,65.0177000254203,-1.10647678117636,0.347136271080671,-3.18744214694646,0.00143537169509346,0.706712444403143
Actb,18018.3463444634,-0.107642607805575,0.033875655914348,-3.1775800320366,0.00148509695945841,0.706712444403143
Prss12,159.603625391082,0.681850918987811,0.217837920504713,3.1300836760102,0.0017475651631071,0.796962529591967
Lipg,145.345310025585,0.70022250611473,0.228238447288209,3.06794282222978,0.00215537854356665,0.883167681477163
Islr2,1968.7775668801,0.223512612414619,0.0729306136932839,3.06472962581421,0.0021786685609761,0.883167681477163
Ccnd1,50.1892401945676,-1.2441782657997,0.403539200090545,-3.08316581269064,0.00204811002196818,0.883167681477163
Ccnl2,161.478538115922,-0.116642035060604,0.214547860258063,-0.543664406255578,0.586672430240325,0.999794545930453
Siva1,15.079631766055,0.127058521783447,0.693954091824345,0.183093555150632,0.854724612542638,0.999794545930453
Zc2hc1a,533.285113330722,-0.0777787035836605,0.121115423776249,-0.64218661140426,0.520752025040602,0.999794545930453
Chd3,2532.66713530095,0.150681454219401,0.0588568182180408,2.56013591596451,0.0104631233546732,0.999794545930453
Inpp5j,63.0588408960331,0.49901851510796,0.346145474221287,1.4416439106436,0.149402854252513,0.999794545930453
Sympk,535.408531102913,-0.00298561588558247,0.119838078600449,-0.024913749623246,0.980123760025369,0.999794545930453
Mrps16,41.95357727078,-0.0768045482757404,0.41573748305549,-0.184742900041777,0.85343069592797,0.999794545930453
Slc35b3,17.206046018664,-0.751429716828311,0.661799894882696,-1.13543341822607,0.256193764345972,0.999794545930453
Zfp961,31.7993047251689,0.406007257241192,0.484137834094985,0.838619146549773,0.401683062904939,0.999794545930453
Pcsk6,47.815933554959,-0.087571867321044,0.399292709915859,-0.219317470983875,0.826402753301546,0.999794545930453
Tm9sf2,244.183323732258,-0.0170919221719034,0.173974159323435,-0.0982440279543346,0.921738522288089,0.999794545930453
Rps12,25.0808160275185,0.247447740694938,0.542715865195107,0.455943444008183,0.648430647970402,0.999794545930453
Laptm4b,54.3534435023106,0.19689996363756,0.371906553982367,0.529433970789597,0.59650443775417,0.999794545930453
Camta2,332.225572616266,0.0304136294364674,0.150315567817955,0.20233186673852,0.839657289071987,0.999794545930453
Slc5a6,47.8905134199729,-0.189391383941819,0.391326894556089,-0.483972317202118,0.628405515608459,0.999794545930453
Prdx1,183.964295702869,0.00654187803541443,0.214581987411048,0.0304866131325505,0.975678969592442,0.999794545930453
Tmed8,133.98570769711,-0.349604408200337,0.234732894928057,-1.4893711778551,0.136389653924348,0.999794545930453
Tagap1,64.2841380031386,0.102371856696925,0.363350735053381,0.281743909729219,0.778139882679848,0.999794545930453
Cdc42se1,257.77326518902,-0.061395380618819,0.174146174958853,-0.352550842034432,0.72442519633352,0.999794545930453
Vcpkmt,52.6560552097648,0.277687902627264,0.385859987728683,0.719659750838223,0.471734513483853,0.999794545930453
Iscu,56.6551817146301,0.342836618607458,0.366421199986094,0.935635325195344,0.349460980152745,0.999794545930453
Phactr1,1001.96969132578,-0.0616045386521169,0.0882131614123278,-0.698359946132796,0.484952118678926,0.999794545930453
Ccdc181,64.2979567601739,-0.0610646461802241,0.336418119890194,-0.181514141390944,0.855964034292802,0.999794545930453
Jun,234.880894766039,-0.276815607305375,0.178066901089101,-1.55455958188918,0.120050996140056,0.999794545930453
Ddit4,371.116863506703,-0.105069230675381,0.142568196965206,-0.736975236496986,0.461137408792984,0.999794545930453
Kitl,545.215046558588,-0.108378615320601,0.119109920629112,-0.909904185547004,0.36287304223751,0.999794545930453
Pgpep1,68.7822713266561,0.136900614890065,0.33877986393258,0.404099031450434,0.6861398971752,0.999794545930453
Tnfrsf19,121.307328107663,-0.193545642825539,0.255894738226568,-0.756348661824281,0.449440179600555,0.999794545930453
Sass6,37.6133370920914,0.26765566429321,0.45912562189471,0.582968258640531,0.559914668212423,0.999794545930453
Mbtd1,161.729642864636,-0.0330966820749793,0.219935930275344,-0.150483288626577,0.880383334346585,0.999794545930453
Fnta,137.304138551552,-0.181778083979459,0.231673017086502,-0.784632091667313,0.432669308673793,0.999794545930453
BC018507,626.247554461369,-0.0298790403583013,0.115818075875661,-0.257982531072081,0.79642038918676,0.999794545930453
Mad1l1,86.3288318799964,-0.00409676079661616,0.300184864939122,-0.0136474595328015,0.9891112407566,0.999794545930453
Gsta4,14.8555058425559,0.518283542416504,0.712659286003186,0.72725291397408,0.467071036867641,0.999794545930453
Flot2,536.600927877398,0.0119463480821241,0.11881686222773,0.100544214500693,0.919912282558728,0.999794545930453
